protein,shortest_path_length,label
9606.ENSP00000326219,-3,0.0
9606.ENSP00000403987,-4,0.0
9606.ENSP00000441065,-3,0.0
9606.ENSP00000370882,-2,0.0
9606.ENSP00000263702,-4,0.0
9606.ENSP00000469981,-4,0.0
9606.ENSP00000288532,-3,0.0
9606.ENSP00000351214,-3,0.0
9606.ENSP00000273968,-4,0.0
9606.ENSP00000238561,-3,0.0
9606.ENSP00000386543,-3,0.0
9606.ENSP00000406933,-3,0.0
9606.ENSP00000354415,-4,0.0
9606.ENSP00000317177,-4,0.0
9606.ENSP00000317379,-3,0.0
9606.ENSP00000355741,-2,0.0
9606.ENSP00000327070,-3,0.0
9606.ENSP00000429168,-3,0.0
9606.ENSP00000360268,-4,0.0
9606.ENSP00000337358,-4,0.0
9606.ENSP00000037869,-3,0.0
9606.ENSP00000267103,-4,0.0
9606.ENSP00000317159,-2,0.0
9606.ENSP00000285083,-3,0.0
9606.ENSP00000342254,-10000,0.0
9606.ENSP00000446252,-3,0.0
9606.ENSP00000072869,-3,1.0
9606.ENSP00000258955,-4,0.0
9606.ENSP00000417190,-3,0.0
9606.ENSP00000305138,-4,0.0
9606.ENSP00000361993,-3,0.0
9606.ENSP00000312770,-4,0.0
9606.ENSP00000236980,-3,0.0
9606.ENSP00000006658,-3,0.0
9606.ENSP00000354223,-2,0.0
9606.ENSP00000379047,-4,0.0
9606.ENSP00000262507,-3,0.0
9606.ENSP00000478212,-4,0.0
9606.ENSP00000364204,-3,0.0
9606.ENSP00000306887,-3,0.0
9606.ENSP00000261434,-3,0.0
9606.ENSP00000402661,-3,1.0
9606.ENSP00000235329,-3,0.0
9606.ENSP00000396954,-4,0.0
9606.ENSP00000436773,-4,0.0
9606.ENSP00000265070,-3,0.0
9606.ENSP00000430025,-3,0.0
9606.ENSP00000274813,-4,0.0
9606.ENSP00000229379,-1,0.0
9606.ENSP00000338034,-3,0.0
9606.ENSP00000358840,-3,1.0
9606.ENSP00000379999,-3,0.0
9606.ENSP00000269980,-3,0.0
9606.ENSP00000371362,-4,0.0
9606.ENSP00000273158,-3,0.0
9606.ENSP00000445446,-3,0.0
9606.ENSP00000224807,-3,0.0
9606.ENSP00000363873,-4,0.0
9606.ENSP00000402038,-3,0.0
9606.ENSP00000346954,-3,0.0
9606.ENSP00000313877,-3,0.0
9606.ENSP00000358510,-3,0.0
9606.ENSP00000363899,-4,1.0
9606.ENSP00000369383,-3,0.0
9606.ENSP00000377617,-4,0.0
9606.ENSP00000215882,-3,0.0
9606.ENSP00000323678,-4,0.0
9606.ENSP00000267436,-4,0.0
9606.ENSP00000263035,-3,0.0
9606.ENSP00000320043,-3,0.0
9606.ENSP00000384867,-3,0.0
9606.ENSP00000258080,-3,0.0
9606.ENSP00000346255,-3,0.0
9606.ENSP00000346173,-3,0.0
9606.ENSP00000308515,-3,0.0
9606.ENSP00000264451,-3,1.0
9606.ENSP00000360541,-3,0.0
9606.ENSP00000372191,-3,0.0
9606.ENSP00000366939,-3,0.0
9606.ENSP00000322316,-3,0.0
9606.ENSP00000292147,-3,0.0
9606.ENSP00000263774,-2,0.0
9606.ENSP00000260953,-4,0.0
9606.ENSP00000357535,-3,0.0
9606.ENSP00000407560,-4,1.0
9606.ENSP00000355467,-3,0.0
9606.ENSP00000371586,-3,0.0
9606.ENSP00000341213,-3,0.0
9606.ENSP00000325562,-3,0.0
9606.ENSP00000310547,-3,0.0
9606.ENSP00000379563,-3,0.0
9606.ENSP00000363419,-3,0.0
9606.ENSP00000315118,-3,0.0
9606.ENSP00000085068,-3,0.0
9606.ENSP00000302037,-3,0.0
9606.ENSP00000264093,-2,0.0
9606.ENSP00000238379,-3,0.0
9606.ENSP00000216254,-2,0.0
9606.ENSP00000401980,-3,0.0
9606.ENSP00000328570,-3,0.0
9606.ENSP00000428263,-4,0.0
9606.ENSP00000301329,-3,1.0
9606.ENSP00000245816,-3,0.0
9606.ENSP00000310873,-3,1.0
9606.ENSP00000368318,-3,0.0
9606.ENSP00000371607,-3,0.0
9606.ENSP00000273986,-3,0.0
9606.ENSP00000308610,-2,0.0
9606.ENSP00000288111,-3,0.0
9606.ENSP00000387262,-2,0.0
9606.ENSP00000359675,-4,0.0
9606.ENSP00000264193,-3,0.0
9606.ENSP00000389903,-3,0.0
9606.ENSP00000418008,-3,1.0
9606.ENSP00000481127,-4,0.0
9606.ENSP00000326219,-3,0.0
9606.ENSP00000403987,-4,0.0
9606.ENSP00000441065,-3,0.0
9606.ENSP00000370882,-3,0.0
9606.ENSP00000263702,-3,1.0
9606.ENSP00000469981,-4,0.0
9606.ENSP00000288532,-3,0.0
9606.ENSP00000351214,-3,0.0
9606.ENSP00000273968,-4,0.0
9606.ENSP00000238561,-3,1.0
9606.ENSP00000386543,-3,0.0
9606.ENSP00000406933,-3,0.0
9606.ENSP00000354415,-3,0.0
9606.ENSP00000317177,-4,0.0
9606.ENSP00000317379,-3,1.0
9606.ENSP00000355741,-3,1.0
9606.ENSP00000327070,-3,0.0
9606.ENSP00000429168,-3,0.0
9606.ENSP00000360268,-3,0.0
9606.ENSP00000337358,-3,1.0
9606.ENSP00000037869,-3,1.0
9606.ENSP00000267103,-4,0.0
9606.ENSP00000317159,-2,0.0
9606.ENSP00000285083,-3,0.0
9606.ENSP00000342254,-10000,1.0
9606.ENSP00000446252,-3,0.0
9606.ENSP00000072869,-4,1.0
9606.ENSP00000258955,-4,0.0
9606.ENSP00000417190,-3,0.0
9606.ENSP00000305138,-4,0.0
9606.ENSP00000361993,-3,1.0
9606.ENSP00000312770,-4,1.0
9606.ENSP00000236980,-3,0.0
9606.ENSP00000006658,-3,1.0
9606.ENSP00000354223,-2,0.0
9606.ENSP00000379047,-4,1.0
9606.ENSP00000262507,-3,0.0
9606.ENSP00000478212,-3,0.0
9606.ENSP00000364204,-3,0.0
9606.ENSP00000306887,-3,1.0
9606.ENSP00000261434,-3,0.0
9606.ENSP00000402661,-3,1.0
9606.ENSP00000235329,-3,0.0
9606.ENSP00000396954,-3,0.0
9606.ENSP00000436773,-3,0.0
9606.ENSP00000265070,-3,0.0
9606.ENSP00000430025,-3,0.0
9606.ENSP00000274813,-3,0.0
9606.ENSP00000229379,-2,0.0
9606.ENSP00000338034,-3,0.0
9606.ENSP00000358840,-3,0.0
9606.ENSP00000379999,-3,0.0
9606.ENSP00000269980,-3,0.0
9606.ENSP00000371362,-3,0.0
9606.ENSP00000273158,-4,0.0
9606.ENSP00000445446,-4,0.0
9606.ENSP00000224807,-3,0.0
9606.ENSP00000363873,-3,1.0
9606.ENSP00000402038,-3,0.0
9606.ENSP00000346954,-3,0.0
9606.ENSP00000313877,-3,0.0
9606.ENSP00000358510,-3,1.0
9606.ENSP00000363899,-3,1.0
9606.ENSP00000369383,-3,0.0
9606.ENSP00000377617,-3,0.0
9606.ENSP00000215882,-3,0.0
9606.ENSP00000323678,-3,0.0
9606.ENSP00000267436,-3,0.0
9606.ENSP00000263035,-3,0.0
9606.ENSP00000320043,-3,0.0
9606.ENSP00000384867,-3,0.0
9606.ENSP00000258080,-4,0.0
9606.ENSP00000346255,-4,0.0
9606.ENSP00000346173,-3,0.0
9606.ENSP00000308515,-4,0.0
9606.ENSP00000264451,-4,0.0
9606.ENSP00000360541,-3,0.0
9606.ENSP00000372191,-3,0.0
9606.ENSP00000366939,-3,0.0
9606.ENSP00000322316,-3,0.0
9606.ENSP00000292147,-3,0.0
9606.ENSP00000263774,-3,0.0
9606.ENSP00000260953,-4,0.0
9606.ENSP00000357535,-3,0.0
9606.ENSP00000407560,-4,0.0
9606.ENSP00000355467,-4,0.0
9606.ENSP00000371586,-4,0.0
9606.ENSP00000341213,-4,0.0
9606.ENSP00000325562,-3,0.0
9606.ENSP00000310547,-3,0.0
9606.ENSP00000379563,-3,0.0
9606.ENSP00000363419,-4,0.0
9606.ENSP00000315118,-3,0.0
9606.ENSP00000085068,-3,0.0
9606.ENSP00000302037,-4,0.0
9606.ENSP00000264093,-3,0.0
9606.ENSP00000238379,-3,0.0
9606.ENSP00000216254,-3,0.0
9606.ENSP00000401980,-3,1.0
9606.ENSP00000328570,-3,0.0
9606.ENSP00000428263,-4,0.0
9606.ENSP00000301329,-4,0.0
9606.ENSP00000245816,-4,0.0
9606.ENSP00000310873,-3,0.0
9606.ENSP00000368318,-3,0.0
9606.ENSP00000371607,-4,0.0
9606.ENSP00000273986,-3,0.0
9606.ENSP00000308610,-4,0.0
9606.ENSP00000288111,-3,0.0
9606.ENSP00000387262,-3,0.0
9606.ENSP00000359675,-4,0.0
9606.ENSP00000264193,-4,0.0
9606.ENSP00000389903,-4,0.0
9606.ENSP00000418008,-3,0.0
9606.ENSP00000481127,-4,0.0
9606.ENSP00000326219,-3,0.0
9606.ENSP00000403987,-5,0.0
9606.ENSP00000441065,-3,0.0
9606.ENSP00000370882,-3,0.0
9606.ENSP00000263702,-4,0.0
9606.ENSP00000469981,-4,0.0
9606.ENSP00000288532,-4,0.0
9606.ENSP00000351214,-3,0.0
9606.ENSP00000273968,-4,0.0
9606.ENSP00000238561,-3,0.0
9606.ENSP00000386543,-4,0.0
9606.ENSP00000406933,-4,0.0
9606.ENSP00000354415,-4,0.0
9606.ENSP00000317177,-4,0.0
9606.ENSP00000317379,-3,0.0
9606.ENSP00000355741,-3,0.0
9606.ENSP00000327070,-3,0.0
9606.ENSP00000429168,-3,0.0
9606.ENSP00000360268,-4,0.0
9606.ENSP00000337358,-4,0.0
9606.ENSP00000037869,-3,0.0
9606.ENSP00000267103,-3,0.0
9606.ENSP00000317159,-3,0.0
9606.ENSP00000285083,-4,0.0
9606.ENSP00000342254,-10000,0.0
9606.ENSP00000446252,-3,0.0
9606.ENSP00000072869,-4,0.0
9606.ENSP00000258955,-4,0.0
9606.ENSP00000417190,-3,0.0
9606.ENSP00000305138,-4,0.0
9606.ENSP00000361993,-4,0.0
9606.ENSP00000312770,-4,0.0
9606.ENSP00000236980,-4,0.0
9606.ENSP00000006658,-3,0.0
9606.ENSP00000354223,-3,0.0
9606.ENSP00000379047,-4,0.0
9606.ENSP00000262507,-3,0.0
9606.ENSP00000478212,-3,0.0
9606.ENSP00000364204,-3,0.0
9606.ENSP00000306887,-4,0.0
9606.ENSP00000261434,-4,0.0
9606.ENSP00000402661,-4,0.0
9606.ENSP00000235329,-3,0.0
9606.ENSP00000396954,-4,0.0
9606.ENSP00000436773,-4,0.0
9606.ENSP00000265070,-4,0.0
9606.ENSP00000430025,-4,0.0
9606.ENSP00000274813,-4,0.0
9606.ENSP00000229379,-3,0.0
9606.ENSP00000338034,-3,0.0
9606.ENSP00000358840,-2,0.0
9606.ENSP00000379999,-3,0.0
9606.ENSP00000269980,-3,0.0
9606.ENSP00000371362,-4,0.0
9606.ENSP00000273158,-4,0.0
9606.ENSP00000445446,-4,0.0
9606.ENSP00000224807,-3,0.0
9606.ENSP00000363873,-4,0.0
9606.ENSP00000402038,-3,0.0
9606.ENSP00000346954,-4,0.0
9606.ENSP00000313877,-3,0.0
9606.ENSP00000358510,-4,0.0
9606.ENSP00000363899,-4,0.0
9606.ENSP00000369383,-4,0.0
9606.ENSP00000377617,-4,0.0
9606.ENSP00000215882,-3,0.0
9606.ENSP00000323678,-3,0.0
9606.ENSP00000267436,-4,0.0
9606.ENSP00000263035,-3,0.0
9606.ENSP00000320043,-3,0.0
9606.ENSP00000384867,-3,0.0
9606.ENSP00000258080,-3,0.0
9606.ENSP00000346255,-3,0.0
9606.ENSP00000346173,-3,1.0
9606.ENSP00000308515,-3,1.0
9606.ENSP00000264451,-3,1.0
9606.ENSP00000360541,-3,0.0
9606.ENSP00000372191,-3,1.0
9606.ENSP00000366939,-3,0.0
9606.ENSP00000322316,-3,0.0
9606.ENSP00000292147,-3,0.0
9606.ENSP00000263774,-2,0.0
9606.ENSP00000260953,-4,0.0
9606.ENSP00000357535,-3,0.0
9606.ENSP00000407560,-4,0.0
9606.ENSP00000355467,-3,0.0
9606.ENSP00000371586,-3,0.0
9606.ENSP00000341213,-3,0.0
9606.ENSP00000325562,-3,0.0
9606.ENSP00000310547,-3,1.0
9606.ENSP00000379563,-3,0.0
9606.ENSP00000363419,-4,1.0
9606.ENSP00000315118,-3,0.0
9606.ENSP00000085068,-3,0.0
9606.ENSP00000302037,-3,0.0
9606.ENSP00000264093,-2,1.0
9606.ENSP00000238379,-4,1.0
9606.ENSP00000216254,-2,0.0
9606.ENSP00000401980,-3,0.0
9606.ENSP00000328570,-3,0.0
9606.ENSP00000428263,-4,0.0
9606.ENSP00000301329,-4,1.0
9606.ENSP00000245816,-3,0.0
9606.ENSP00000310873,-3,1.0
9606.ENSP00000368318,-3,0.0
9606.ENSP00000371607,-3,0.0
9606.ENSP00000273986,-3,0.0
9606.ENSP00000308610,-3,0.0
9606.ENSP00000288111,-3,0.0
9606.ENSP00000387262,-3,0.0
9606.ENSP00000359675,-4,0.0
9606.ENSP00000264193,-3,0.0
9606.ENSP00000389903,-4,0.0
9606.ENSP00000418008,-3,1.0
9606.ENSP00000481127,-4,0.0
9606.ENSP00000326219,-3,0.0
9606.ENSP00000403987,-4,0.0
9606.ENSP00000441065,-3,0.0
9606.ENSP00000370882,-3,0.0
9606.ENSP00000263702,-4,0.0
9606.ENSP00000469981,-4,0.0
9606.ENSP00000288532,-3,0.0
9606.ENSP00000351214,-3,1.0
9606.ENSP00000273968,-4,0.0
9606.ENSP00000238561,-4,0.0
9606.ENSP00000386543,-3,0.0
9606.ENSP00000406933,-3,0.0
9606.ENSP00000354415,-4,0.0
9606.ENSP00000317177,-3,0.0
9606.ENSP00000317379,-3,1.0
9606.ENSP00000355741,-3,0.0
9606.ENSP00000327070,-3,0.0
9606.ENSP00000429168,-3,0.0
9606.ENSP00000360268,-3,1.0
9606.ENSP00000337358,-3,0.0
9606.ENSP00000037869,-3,0.0
9606.ENSP00000267103,-4,0.0
9606.ENSP00000317159,-2,0.0
9606.ENSP00000285083,-3,0.0
9606.ENSP00000342254,-10000,0.0
9606.ENSP00000446252,-3,1.0
9606.ENSP00000072869,-4,0.0
9606.ENSP00000258955,-4,0.0
9606.ENSP00000417190,-3,0.0
9606.ENSP00000305138,-4,0.0
9606.ENSP00000361993,-3,0.0
9606.ENSP00000312770,-4,0.0
9606.ENSP00000236980,-3,0.0
9606.ENSP00000006658,-3,1.0
9606.ENSP00000354223,-3,0.0
9606.ENSP00000379047,-4,0.0
9606.ENSP00000262507,-3,0.0
9606.ENSP00000478212,-3,0.0
9606.ENSP00000364204,-3,0.0
9606.ENSP00000306887,-3,1.0
9606.ENSP00000261434,-3,0.0
9606.ENSP00000402661,-3,0.0
9606.ENSP00000235329,-3,0.0
9606.ENSP00000396954,-3,0.0
9606.ENSP00000436773,-4,1.0
9606.ENSP00000265070,-3,0.0
9606.ENSP00000430025,-3,1.0
9606.ENSP00000274813,-3,0.0
9606.ENSP00000229379,-2,0.0
9606.ENSP00000338034,-3,0.0
9606.ENSP00000358840,-3,0.0
9606.ENSP00000379999,-3,0.0
9606.ENSP00000269980,-3,0.0
9606.ENSP00000371362,-3,0.0
9606.ENSP00000273158,-4,0.0
9606.ENSP00000445446,-4,0.0
9606.ENSP00000224807,-3,0.0
9606.ENSP00000363873,-3,1.0
9606.ENSP00000402038,-4,0.0
9606.ENSP00000346954,-3,1.0
9606.ENSP00000313877,-3,0.0
9606.ENSP00000358510,-4,0.0
9606.ENSP00000363899,-4,0.0
9606.ENSP00000369383,-3,1.0
9606.ENSP00000377617,-4,0.0
9606.ENSP00000215882,-3,0.0
9606.ENSP00000323678,-4,0.0
9606.ENSP00000267436,-4,0.0
9606.ENSP00000263035,-3,0.0
9606.ENSP00000320043,-3,0.0
9606.ENSP00000384867,-3,0.0
9606.ENSP00000258080,-3,0.0
9606.ENSP00000346255,-3,0.0
9606.ENSP00000346173,-2,0.0
9606.ENSP00000308515,-3,0.0
9606.ENSP00000264451,-3,0.0
9606.ENSP00000360541,-3,0.0
9606.ENSP00000372191,-2,0.0
9606.ENSP00000366939,-2,0.0
9606.ENSP00000322316,-3,0.0
9606.ENSP00000292147,-3,0.0
9606.ENSP00000263774,-2,0.0
9606.ENSP00000260953,-3,0.0
9606.ENSP00000357535,-3,0.0
9606.ENSP00000407560,-4,0.0
9606.ENSP00000355467,-3,0.0
9606.ENSP00000371586,-3,0.0
9606.ENSP00000341213,-3,0.0
9606.ENSP00000325562,-3,0.0
9606.ENSP00000310547,-3,0.0
9606.ENSP00000379563,-2,0.0
9606.ENSP00000363419,-4,1.0
9606.ENSP00000315118,-3,0.0
9606.ENSP00000085068,-3,0.0
9606.ENSP00000302037,-3,0.0
9606.ENSP00000264093,-2,0.0
9606.ENSP00000238379,-3,0.0
9606.ENSP00000216254,-2,0.0
9606.ENSP00000401980,-3,0.0
9606.ENSP00000328570,-2,0.0
9606.ENSP00000428263,-3,0.0
9606.ENSP00000301329,-3,0.0
9606.ENSP00000245816,-3,0.0
9606.ENSP00000310873,-3,0.0
9606.ENSP00000368318,-3,1.0
9606.ENSP00000371607,-3,0.0
9606.ENSP00000273986,-2,0.0
9606.ENSP00000308610,-3,0.0
9606.ENSP00000288111,-3,0.0
9606.ENSP00000387262,-2,0.0
9606.ENSP00000359675,-3,0.0
9606.ENSP00000264193,-3,0.0
9606.ENSP00000389903,-3,0.0
9606.ENSP00000418008,-3,0.0
9606.ENSP00000481127,-4,0.0
9606.ENSP00000326219,-3,0.0
9606.ENSP00000403987,-4,0.0
9606.ENSP00000441065,-3,0.0
9606.ENSP00000370882,-3,0.0
9606.ENSP00000263702,-3,0.0
9606.ENSP00000469981,-3,0.0
9606.ENSP00000288532,-3,0.0
9606.ENSP00000351214,-3,0.0
9606.ENSP00000273968,-4,0.0
9606.ENSP00000238561,-3,0.0
9606.ENSP00000386543,-3,0.0
9606.ENSP00000406933,-3,0.0
9606.ENSP00000354415,-3,0.0
9606.ENSP00000317177,-3,0.0
9606.ENSP00000317379,-3,0.0
9606.ENSP00000355741,-3,0.0
9606.ENSP00000327070,-2,0.0
9606.ENSP00000429168,-3,0.0
9606.ENSP00000360268,-3,0.0
9606.ENSP00000337358,-3,0.0
9606.ENSP00000037869,-3,0.0
9606.ENSP00000267103,-3,0.0
9606.ENSP00000317159,-2,0.0
9606.ENSP00000285083,-3,0.0
9606.ENSP00000342254,-10000,0.0
9606.ENSP00000446252,-3,0.0
9606.ENSP00000072869,-3,0.0
9606.ENSP00000258955,-3,0.0
9606.ENSP00000417190,-2,1.0
9606.ENSP00000305138,-3,0.0
9606.ENSP00000361993,-3,0.0
9606.ENSP00000312770,-4,0.0
9606.ENSP00000236980,-3,0.0
9606.ENSP00000006658,-3,0.0
9606.ENSP00000354223,-2,0.0
9606.ENSP00000379047,-3,0.0
9606.ENSP00000262507,-2,0.0
9606.ENSP00000478212,-3,0.0
9606.ENSP00000364204,-3,0.0
9606.ENSP00000306887,-3,0.0
9606.ENSP00000261434,-3,0.0
9606.ENSP00000402661,-3,0.0
9606.ENSP00000235329,-3,0.0
9606.ENSP00000396954,-3,0.0
9606.ENSP00000436773,-3,0.0
9606.ENSP00000265070,-3,0.0
9606.ENSP00000430025,-3,0.0
9606.ENSP00000274813,-3,0.0
9606.ENSP00000229379,-3,0.0
9606.ENSP00000338034,-3,0.0
9606.ENSP00000358840,-2,0.0
9606.ENSP00000379999,-3,0.0
9606.ENSP00000269980,-2,0.0
9606.ENSP00000371362,-3,0.0
9606.ENSP00000273158,-3,0.0
9606.ENSP00000445446,-4,0.0
9606.ENSP00000224807,-3,0.0
9606.ENSP00000363873,-3,0.0
9606.ENSP00000402038,-3,0.0
9606.ENSP00000346954,-3,0.0
9606.ENSP00000313877,-3,0.0
9606.ENSP00000358510,-3,0.0
9606.ENSP00000363899,-3,0.0
9606.ENSP00000369383,-3,0.0
9606.ENSP00000377617,-3,0.0
9606.ENSP00000215882,-3,0.0
9606.ENSP00000323678,-3,0.0
9606.ENSP00000267436,-3,0.0
9606.ENSP00000263035,-3,0.0
9606.ENSP00000320043,-2,0.0
9606.ENSP00000384867,-3,0.0
9606.ENSP00000258080,-3,0.0
9606.ENSP00000346255,-3,0.0
9606.ENSP00000346173,-3,0.0
9606.ENSP00000308515,-3,0.0
9606.ENSP00000264451,-3,0.0
9606.ENSP00000360541,-3,0.0
9606.ENSP00000372191,-2,0.0
9606.ENSP00000366939,-3,0.0
9606.ENSP00000322316,-2,0.0
9606.ENSP00000292147,-3,0.0
9606.ENSP00000263774,-2,0.0
9606.ENSP00000260953,-4,0.0
9606.ENSP00000357535,-3,0.0
9606.ENSP00000407560,-4,0.0
9606.ENSP00000355467,-3,0.0
9606.ENSP00000371586,-3,0.0
9606.ENSP00000341213,-3,0.0
9606.ENSP00000325562,-3,0.0
9606.ENSP00000310547,-2,0.0
9606.ENSP00000379563,-3,0.0
9606.ENSP00000363419,-4,0.0
9606.ENSP00000315118,-2,0.0
9606.ENSP00000085068,-3,0.0
9606.ENSP00000302037,-3,0.0
9606.ENSP00000264093,-3,0.0
9606.ENSP00000238379,-3,0.0
9606.ENSP00000216254,-3,0.0
9606.ENSP00000401980,-3,0.0
9606.ENSP00000328570,-3,0.0
9606.ENSP00000428263,-3,0.0
9606.ENSP00000301329,-3,0.0
9606.ENSP00000245816,-3,0.0
9606.ENSP00000310873,-2,0.0
9606.ENSP00000368318,-3,0.0
9606.ENSP00000371607,-3,0.0
9606.ENSP00000273986,-3,0.0
9606.ENSP00000308610,-3,0.0
9606.ENSP00000288111,-3,0.0
9606.ENSP00000387262,-2,0.0
9606.ENSP00000359675,-3,0.0
9606.ENSP00000264193,-3,1.0
9606.ENSP00000389903,-4,0.0
9606.ENSP00000418008,-3,0.0
9606.ENSP00000481127,-4,0.0
9606.ENSP00000326219,-3,0.0
9606.ENSP00000403987,-4,0.0
9606.ENSP00000441065,-3,0.0
9606.ENSP00000370882,-2,0.0
9606.ENSP00000263702,-3,0.0
9606.ENSP00000469981,-3,0.0
9606.ENSP00000288532,-3,0.0
9606.ENSP00000351214,-3,0.0
9606.ENSP00000273968,-4,0.0
9606.ENSP00000238561,-3,0.0
9606.ENSP00000386543,-3,0.0
9606.ENSP00000406933,-3,0.0
9606.ENSP00000354415,-3,0.0
9606.ENSP00000317177,-4,0.0
9606.ENSP00000317379,-3,1.0
9606.ENSP00000355741,-3,0.0
9606.ENSP00000327070,-2,0.0
9606.ENSP00000429168,-3,0.0
9606.ENSP00000360268,-3,0.0
9606.ENSP00000337358,-3,0.0
9606.ENSP00000037869,-3,0.0
9606.ENSP00000267103,-3,0.0
9606.ENSP00000317159,-2,0.0
9606.ENSP00000285083,-3,0.0
9606.ENSP00000342254,-10000,0.0
9606.ENSP00000446252,-3,0.0
9606.ENSP00000072869,-3,0.0
9606.ENSP00000258955,-3,0.0
9606.ENSP00000417190,-2,1.0
9606.ENSP00000305138,-3,0.0
9606.ENSP00000361993,-3,0.0
9606.ENSP00000312770,-4,0.0
9606.ENSP00000236980,-3,0.0
9606.ENSP00000006658,-2,1.0
9606.ENSP00000354223,-2,0.0
9606.ENSP00000379047,-3,0.0
9606.ENSP00000262507,-2,0.0
9606.ENSP00000478212,-3,0.0
9606.ENSP00000364204,-3,0.0
9606.ENSP00000306887,-3,0.0
9606.ENSP00000261434,-3,0.0
9606.ENSP00000402661,-3,0.0
9606.ENSP00000235329,-3,0.0
9606.ENSP00000396954,-4,0.0
9606.ENSP00000436773,-3,0.0
9606.ENSP00000265070,-3,0.0
9606.ENSP00000430025,-4,0.0
9606.ENSP00000274813,-3,0.0
9606.ENSP00000229379,-2,0.0
9606.ENSP00000338034,-2,0.0
9606.ENSP00000358840,-2,0.0
9606.ENSP00000379999,-2,0.0
9606.ENSP00000269980,-3,0.0
9606.ENSP00000371362,-3,1.0
9606.ENSP00000273158,-3,0.0
9606.ENSP00000445446,-4,0.0
9606.ENSP00000224807,-3,0.0
9606.ENSP00000363873,-3,0.0
9606.ENSP00000402038,-3,0.0
9606.ENSP00000346954,-3,0.0
9606.ENSP00000313877,-3,0.0
9606.ENSP00000358510,-3,0.0
9606.ENSP00000363899,-3,0.0
9606.ENSP00000369383,-3,0.0
9606.ENSP00000377617,-3,0.0
9606.ENSP00000215882,-3,0.0
9606.ENSP00000323678,-3,0.0
9606.ENSP00000267436,-3,0.0
9606.ENSP00000263035,-3,1.0
9606.ENSP00000320043,-3,0.0
9606.ENSP00000384867,-3,0.0
9606.ENSP00000258080,-3,0.0
9606.ENSP00000346255,-3,0.0
9606.ENSP00000346173,-3,0.0
9606.ENSP00000308515,-3,0.0
9606.ENSP00000264451,-3,0.0
9606.ENSP00000360541,-3,0.0
9606.ENSP00000372191,-3,0.0
9606.ENSP00000366939,-3,0.0
9606.ENSP00000322316,-3,0.0
9606.ENSP00000292147,-3,0.0
9606.ENSP00000263774,-2,0.0
9606.ENSP00000260953,-4,0.0
9606.ENSP00000357535,-3,0.0
9606.ENSP00000407560,-4,0.0
9606.ENSP00000355467,-3,0.0
9606.ENSP00000371586,-3,0.0
9606.ENSP00000341213,-3,0.0
9606.ENSP00000325562,-3,0.0
9606.ENSP00000310547,-3,0.0
9606.ENSP00000379563,-3,0.0
9606.ENSP00000363419,-3,0.0
9606.ENSP00000315118,-3,0.0
9606.ENSP00000085068,-3,0.0
9606.ENSP00000302037,-3,0.0
9606.ENSP00000264093,-2,0.0
9606.ENSP00000238379,-3,0.0
9606.ENSP00000216254,-3,0.0
9606.ENSP00000401980,-3,0.0
9606.ENSP00000328570,-3,0.0
9606.ENSP00000428263,-4,0.0
9606.ENSP00000301329,-4,0.0
9606.ENSP00000245816,-3,0.0
9606.ENSP00000310873,-3,0.0
9606.ENSP00000368318,-3,0.0
9606.ENSP00000371607,-3,0.0
9606.ENSP00000273986,-3,0.0
9606.ENSP00000308610,-2,0.0
9606.ENSP00000288111,-3,0.0
9606.ENSP00000387262,-3,0.0
9606.ENSP00000359675,-4,0.0
9606.ENSP00000264193,-3,0.0
9606.ENSP00000389903,-3,0.0
9606.ENSP00000418008,-3,0.0
9606.ENSP00000481127,-4,0.0
9606.ENSP00000326219,-3,0.0
9606.ENSP00000403987,-5,0.0
9606.ENSP00000441065,-3,0.0
9606.ENSP00000370882,-3,0.0
9606.ENSP00000263702,-3,0.0
9606.ENSP00000469981,-3,0.0
9606.ENSP00000288532,-3,0.0
9606.ENSP00000351214,-3,0.0
9606.ENSP00000273968,-4,0.0
9606.ENSP00000238561,-3,0.0
9606.ENSP00000386543,-3,0.0
9606.ENSP00000406933,-3,0.0
9606.ENSP00000354415,-3,0.0
9606.ENSP00000317177,-3,0.0
9606.ENSP00000317379,-3,0.0
9606.ENSP00000355741,-3,0.0
9606.ENSP00000327070,-3,0.0
9606.ENSP00000429168,-3,0.0
9606.ENSP00000360268,-3,0.0
9606.ENSP00000337358,-3,0.0
9606.ENSP00000037869,-3,0.0
9606.ENSP00000267103,-3,0.0
9606.ENSP00000317159,-2,0.0
9606.ENSP00000285083,-3,0.0
9606.ENSP00000342254,-10000,0.0
9606.ENSP00000446252,-3,0.0
9606.ENSP00000072869,-4,0.0
9606.ENSP00000258955,-4,0.0
9606.ENSP00000417190,-3,0.0
9606.ENSP00000305138,-4,0.0
9606.ENSP00000361993,-3,0.0
9606.ENSP00000312770,-4,0.0
9606.ENSP00000236980,-3,0.0
9606.ENSP00000006658,-3,0.0
9606.ENSP00000354223,-2,0.0
9606.ENSP00000379047,-4,0.0
9606.ENSP00000262507,-3,0.0
9606.ENSP00000478212,-3,0.0
9606.ENSP00000364204,-3,0.0
9606.ENSP00000306887,-3,0.0
9606.ENSP00000261434,-3,0.0
9606.ENSP00000402661,-3,0.0
9606.ENSP00000235329,-3,0.0
9606.ENSP00000396954,-3,0.0
9606.ENSP00000436773,-3,0.0
